Source,Target,Distance
27,611,electronics
18,1874,movies
53,2139,computers
63,212,fashion
9,1027,clothing
77,595,games
54,770,movies
59,2133,electronics
75,253,electronics
78,1821,computers
64,2009,games
53,1538,movies
18,1874,electronics
20,355,automotive
9,1027,sports
53,1538,computers
11,1155,electronics
18,128,fashion
75,253,games
64,68,electronics
35,868,computers
51,2030,fashion
9,1277,sports
44,1926,fashion
64,68,movies
94,239,sports
44,2283,clothing
9,1652,games
100,2092,hardware
22,1782,sports
72,1264,games
77,343,sports
59,801,movies
13,1072,fashion
77,343,games
77,751,movies
9,21,games
100,1793,sports
36,2161,computers
32,2336,fashion
66,1315,hardware
74,62,clothing
32,2336,computers
27,856,computers
63,462,sports
18,374,movies
97,412,computers
27,2384,hardware
97,1756,sports
53,670,games
72,1264,sports
22,1717,sports
64,846,computers
22,157,clothing
44,1926,clothing
90,1972,movies
11,1260,games
64,1544,movies
94,239,sports
77,343,computers
9,1300,movies
64,2009,clothing
54,1026,fashion
53,670,games
64,564,clothing
99,1,fashion
25,1807,hardware
78,1769,automotive
99,1,computers
61,1645,computers
54,1234,games
94,1966,clothing
22,90,fashion
35,2199,electronics
75,253,games
61,1645,movies
77,1304,hardware
54,1042,games
59,931,fashion
36,2161,sports
51,1485,clothing
64,2009,clothing
64,564,sports
72,1307,clothing
78,1821,sports
27,856,hardware
64,564,clothing
94,352,hardware
39,210,games
53,2139,clothing
18,970,computers
54,1042,fashion
53,881,computers
84,1404,games
57,2221,electronics
27,611,movies
54,770,clothing
74,1270,clothing
77,1304,games
64,504,games
25,1807,games
61,1471,electronics
61,511,games
64,1367,sports
53,670,sports
94,1535,computers
78,1821,hardware
20,355,sports
61,511,computers
32,2336,fashion
35,2229,sports
20,1145,games
11,937,hardware
27,1065,games
32,2336,games
11,1260,fashion
75,1525,fashion
99,97,computers
44,1926,sports
84,1404,hardware
64,564,hardware
27,820,electronics
9,371,sports
51,810,clothing
44,1926,hardware
66,1315,electronics
18,1874,movies
59,867,sports
66,1315,sports
78,1769,games
51,1485,sports
75,1525,clothing
22,844,computers
78,1769,clothing
97,1756,movies
99,2368,movies
78,1769,hardware
99,2368,sports
53,1059,clothing
99,1,clothing
64,708,movies
64,564,clothing
90,170,computers
57,1320,electronics
2,518,sports
64,2084,clothing
18,934,games
8,2383,computers
22,1782,hardware
2,624,clothing
51,2030,computers
85,1387,games
36,127,sports
11,937,electronics
13,1623,hardware
74,1270,movies
13,1555,hardware
84,244,automotive
53,1059,computers
64,2009,hardware
64,846,movies
78,1769,hardware
18,1064,computers
18,121,fashion
11,222,clothing
53,1740,electronics
35,2199,games
44,935,clothing
36,127,movies
18,121,clothing
64,1544,clothing
27,1892,computers
64,1544,fashion
9,1027,games
64,1997,computers
44,2283,sports
53,1740,computers
84,1404,electronics
22,157,movies
61,1085,computers
75,1525,games
59,801,computers
35,400,computers
36,445,computers
35,279,hardware
94,1206,clothing
53,670,clothing
32,2336,movies
22,1717,sports
61,1645,clothing
97,819,sports
35,2243,games
94,1206,hardware
22,90,movies
13,1623,hardware
9,21,clothing
74,1270,games
74,1270,computers
51,810,sports
100,1793,fashion
72,1370,computers
35,868,hardware
97,649,computers
94,1535,fashion
97,649,clothing
53,1059,games
54,243,movies
66,1315,clothing
99,2368,hardware
94,239,fashion
100,2306,sports
27,1065,fashion
22,157,sports
84,2218,movies
99,2368,movies
59,2029,clothing
94,1966,computers
64,1157,computers
64,708,games
63,462,computers
99,2212,clothing
63,212,clothing
54,165,electronics
61,1471,movies
94,352,fashion
59,801,hardware
27,1892,electronics
63,83,computers
9,1652,fashion
9,1652,hardware
99,2368,movies
74,62,computers
18,1205,sports
53,670,movies
32,1815,sports
32,2336,games
59,2355,clothing
61,511,fashion
70,1516,clothing
64,68,clothing
63,462,computers
100,1793,hardware
59,2133,sports
97,1640,hardware
54,1042,clothing
53,1059,movies
51,1318,hardware
13,1623,clothing
18,1064,fashion
94,1966,clothing
9,371,clothing
85,309,clothing
94,1206,games
75,253,computers
9,371,fashion
64,1588,hardware
32,1815,movies
64,564,automotive
57,306,fashion
94,741,movies
18,374,electronics
9,21,games
97,649,sports
77,343,clothing
54,2379,clothing
72,1856,games
39,210,games
77,1304,games
64,1367,clothing
54,770,computers
66,1315,sports
44,2283,sports
35,807,computers
53,1740,hardware
8,1353,sports
90,1972,sports
27,1065,games
8,2383,clothing
64,846,clothing
27,221,games
27,2384,clothing
18,374,sports
57,306,electronics
75,253,fashion
99,2032,clothing
59,2133,fashion
9,1143,games
77,751,games
18,1658,hardware
64,564,movies
94,741,sports
100,1793,electronics
27,1065,fashion
94,1535,clothing
11,2222,games
94,741,fashion
97,1640,hardware
35,868,sports
27,2384,clothing
84,1404,clothing
36,445,computers
22,76,games
54,1026,sports
11,222,computers
27,1065,movies
27,1329,clothing
20,355,games
100,2306,clothing
75,1525,clothing
54,243,fashion
100,2092,fashion
54,243,games
94,239,sports
9,1277,movies
64,708,clothing
77,1304,sports
78,1769,electronics
63,585,hardware
59,2029,movies
84,1404,movies
63,462,games
84,1404,fashion
9,1143,sports
100,1793,games
18,1205,movies
11,222,computers
53,1059,fashion
35,2243,games
35,2127,sports
18,128,hardware
61,1085,sports
72,1856,clothing
51,1318,hardware
35,279,clothing
13,1555,electronics
54,770,movies
22,157,fashion
18,1205,computers
94,1966,clothing
36,2161,fashion
35,279,movies
27,2384,hardware
59,2355,games
94,741,hardware
82,1214,hardware
72,1370,games
22,844,games
11,390,games
85,864,games
22,1022,hardware
99,1,computers
35,2229,fashion
94,1966,electronics
9,1027,sports
84,244,fashion
85,309,computers
61,1471,computers
18,1064,games
54,1163,sports
99,2032,computers
18,970,automotive
57,1320,hardware
36,127,sports
82,1214,sports
9,1300,games
54,2379,fashion
94,239,sports
94,239,electronics
18,934,sports
94,896,hardware
64,504,computers
61,1085,movies
64,564,clothing
74,1270,clothing
13,1555,automotive
35,400,games
27,611,hardware
82,1214,fashion
54,770,movies
27,820,electronics
78,1769,sports
97,412,games
8,1353,movies
97,1640,computers
63,462,games
78,1769,automotive
59,867,games
84,244,computers
54,1163,clothing
84,2218,computers
53,1538,computers
97,412,fashion
11,1155,clothing
36,445,sports
61,1645,sports
59,801,fashion
53,2139,hardware
32,1815,fashion
64,564,hardware
54,178,games
63,83,computers
64,1157,games
27,471,clothing
18,374,movies
35,2199,clothing
18,1874,games
2,518,fashion
11,1260,computers
64,1588,clothing
18,1064,sports
66,12,automotive
61,511,hardware
57,1320,hardware
74,62,sports
100,2306,sports
59,801,movies
69,1162,hardware
77,1457,sports
18,1958,computers
9,21,computers
27,611,sports
22,844,computers
53,670,sports
77,1304,clothing
66,12,computers
9,1652,fashion
63,212,electronics
35,2146,games
2,518,electronics
57,2285,fashion
53,1059,clothing
44,827,electronics
69,1162,computers
84,1404,sports
99,1804,computers
59,2029,electronics
64,1588,movies
13,1362,movies
9,1143,fashion
18,121,computers
44,1926,clothing
9,1652,fashion
97,1640,fashion
74,367,fashion
77,2248,hardware
18,934,games
8,2383,movies
99,1,sports
51,1393,sports
61,1645,clothing
25,1807,clothing
13,1072,clothing
13,1072,sports
72,1856,clothing
57,2221,computers
11,1260,games
64,2084,computers
2,624,hardware
85,309,hardware
51,2030,movies
20,355,clothing
84,244,fashion
54,1163,clothing
35,279,fashion
99,1,sports
22,1782,computers
44,2283,clothing
22,1782,hardware
64,2084,automotive
63,212,clothing
27,1065,games
61,511,movies
35,2229,computers
64,846,electronics
77,595,computers
72,1856,movies
2,518,clothing
61,1085,electronics
13,1623,electronics
77,2248,movies
27,856,movies
11,2222,games
53,1740,games
11,2222,sports
11,1155,computers
20,1145,computers
35,2243,clothing
9,1300,computers
18,970,games
54,1026,sports
77,343,movies
97,412,movies
11,390,hardware
9,1027,games
36,2161,computers
2,518,sports
100,2306,games
25,1807,games
74,62,sports
44,827,computers
64,2084,movies
11,2222,automotive
35,400,movies
59,801,games
35,400,sports
39,210,games
44,1926,clothing
94,1206,games
53,881,clothing
84,244,computers
35,2199,hardware
27,611,computers
64,2009,sports
94,239,games
35,400,electronics
51,1318,hardware
18,121,games
84,244,sports
70,1516,computers
22,1022,computers
22,90,sports
18,970,electronics
51,1318,automotive
9,21,automotive
51,1318,games
20,355,movies
36,127,games
94,741,sports
97,1756,sports
84,1404,movies
35,2199,sports
64,1544,computers
44,1926,clothing
27,2384,clothing
9,1300,clothing
27,1329,electronics
18,121,clothing
27,820,games
85,84,fashion
35,2243,clothing
82,1214,electronics
13,1623,computers
61,1471,games
100,2306,hardware
44,515,movies
44,515,fashion
11,390,sports
53,2139,computers
97,1640,games
63,462,clothing
11,390,movies
64,1367,fashion
53,769,games
22,1717,fashion
72,1264,movies
94,896,games
100,2306,electronics
9,371,fashion
64,1588,sports
85,1387,games
35,279,games
74,1270,games
95,436,movies
59,801,sports
97,412,clothing
27,611,games
100,2306,clothing
25,1807,sports
61,1471,sports
64,68,movies
54,1042,computers
64,1588,games
53,881,computers
22,1717,games
59,2355,sports
59,2355,computers
90,1972,computers
64,1544,clothing
54,165,computers
44,1926,clothing
35,2199,electronics
74,62,computers
51,1485,fashion
85,84,hardware
97,1756,movies
100,1793,sports
9,1652,computers
84,2218,electronics
100,2306,fashion
77,1457,movies
99,2032,computers
72,1264,computers
74,367,movies
57,2285,movies
27,820,games
94,896,games
74,2132,computers
9,1652,sports
35,279,sports
27,1892,electronics
11,390,clothing
97,1640,electronics
22,76,clothing
51,1393,hardware
97,412,fashion
82,1214,sports
27,2384,hardware
11,390,computers
85,2359,sports
71,1697,clothing
93,2177,electronics
74,62,clothing
84,244,games
11,222,movies
64,708,clothing
61,1471,games
9,371,clothing
84,244,games
104,1615,automotive
13,1555,hardware
51,1393,electronics
53,1863,games
35,2229,hardware
44,935,sports
94,1966,electronics
72,1264,movies
18,934,automotive
85,864,hardware
71,1697,sports
64,68,computers
77,595,clothing
111,1016,clothing
59,801,clothing
27,221,sports
27,471,sports
35,2127,games
44,515,sports
53,2139,fashion
64,708,sports
22,415,clothing
97,649,clothing
20,355,movies
64,1997,movies
54,1042,games
97,412,hardware
9,1277,computers
100,2306,games
53,881,games
100,2092,electronics
94,1206,computers
2,518,games
97,1640,sports
63,462,games
54,243,games
27,382,clothing
77,1304,hardware
111,1016,computers
44,515,games
61,1085,sports
53,1538,clothing
32,1815,clothing
94,1206,movies
22,76,sports
69,1162,computers
51,1318,electronics
18,1658,games
77,595,fashion
11,1260,hardware
11,222,fashion
57,2285,clothing
22,415,sports
66,12,fashion
57,2285,games
94,1535,movies
64,1544,sports
75,253,games
63,585,clothing
61,1471,movies
99,2212,sports
53,769,sports
72,1264,games
85,2359,computers
54,243,computers
22,90,games
57,306,clothing
18,1658,movies
27,382,computers
18,934,computers
53,1538,fashion
35,868,computers
74,62,fashion
57,2221,automotive
22,1782,hardware
85,864,computers
22,844,games
61,1085,games
20,355,movies
97,1640,movies
35,2127,sports
27,1329,sports
94,239,fashion
18,1658,clothing
84,2218,sports
57,2285,sports
97,412,games
11,2222,movies
77,751,computers
13,1362,games
74,62,games
64,1544,clothing
22,415,games
35,279,automotive
27,382,movies
54,178,games
18,1205,automotive
39,210,fashion
27,1065,fashion
94,896,fashion
22,76,fashion
64,2009,games
22,233,computers
18,934,movies
74,1270,automotive
94,352,electronics
54,2379,computers
72,1264,clothing
27,221,fashion
13,1623,games
100,2092,games
54,243,movies
84,244,movies
85,1387,movies
51,810,clothing
8,1353,clothing
11,222,fashion
77,751,computers
71,1093,computers
61,511,electronics
22,844,games
